map_index,survey_number,lon,lat,tile_lon_center,tile_lat_center,tile_lon_min,tile_lat_min,tile_lon_max,tile_lat_max,min_lon,min_lat,max_lon,max_lat,method
140,230819150,-14.53359416,38.26088391,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
141,230819150,-14.98076882,38.22770112,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
142,230819150,-13.35978929,38.33789238,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
143,230819150,-14.57828756,38.25736421,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
144,230819150,-13.27003048,38.34073544,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
145,230819150,-11.62412391,38.41840884,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
146,230819150,-11.57946377,38.4221734,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
147,230819150,-11.53480363,38.42593776,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
148,230819150,-11.49014349,38.42970193,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
149,230819150,-11.44539882,38.43258506,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
